,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
13,Round,D,SI2,0.31,Excellent,GIA,Excellent,Excellent,62.0,58.0,4.32,4.34,2.68,STK,STK,920,a,a
14,Round,G,VVS2,0.3,Very Good,GIA,Very Good,Excellent,62.9,59.0,4.2,4.23,2.65,STK,TK,948,a,a
15,Round,F,VVS1,0.32,Excellent,IGI,Excellent,Excellent,60.7,59.5,4.39,4.43,2.67,unknown,unknown,1000,a,b
16,Round,G,VS1,0.3,Excellent,GIA,Excellent,Excellent,59.9,61.0,4.33,4.35,2.6,unknown,unknown,998,a,a
17,Round,F,VVS2,0.32,Excellent,GIA,Very Good,Excellent,60.5,60.0,4.41,4.44,2.68,M,STK,1114,a,b
18,Round,E,VS1,0.32,Excellent,GIA,Excellent,Excellent,62.2,57.0,4.34,4.37,2.71,M,STK,1116,a,b
19,Round,L,VVS2,0.52,Excellent,IGI,Excellent,Excellent,61.3,58.5,5.16,5.2,3.17,unknown,unknown,1142,b,b
20,Round,F,VVS1,0.3,Excellent,GIA,Excellent,Excellent,60.9,60.0,4.34,4.36,2.65,M,STK,1264,a,b
21,Round,G,I2,0.56,Excellent,GIA,Excellent,Excellent,61.4,58.0,5.29,5.32,3.26,M,TN,1346,b,b
22,Oval,D,VS2,0.4,unknown,GIA,Very Good,Excellent,62.4,59.0,5.89,4.11,2.57,M,TK,1536,b,b
23,Round,F,VVS1,0.35,Excellent,GIA,Excellent,Excellent,62.3,57.0,4.52,4.55,2.83,M,STK,1612,a,b
24,Round,J,SI2,0.5,Excellent,GIA,Excellent,Excellent,60.5,60.0,5.1,5.13,3.1,M,TK,1660,b,b
25,Round,H,VS1,0.4,Very Good,GIA,Very Good,Excellent,60.4,63.0,4.79,4.84,2.91,TN,M,1686,a,b
26,Round,I,SI1,0.5,Very Good,GIA,Very Good,Excellent,64.3,57.0,4.91,4.97,3.18,STK,TK,1822,b,b
27,Round,E,SI2,0.52,Excellent,GIA,Excellent,Excellent,61.8,59.0,5.14,5.16,3.18,M,STK,2230,b,b
28,Round,F,SI1,0.51,Excellent,GIA,Excellent,Excellent,60.9,60.0,5.15,5.2,3.15,unknown,unknown,2256,b,b
29,Round,I,VS1,0.5,Very Good,GIA,Excellent,Excellent,64.6,55.0,4.93,4.97,3.19,unknown,unknown,2430,b,b
30,Round,F,SI1,0.55,Excellent,GIA,Excellent,Excellent,62.9,56.0,5.25,5.26,3.3,unknown,unknown,2872,b,b
31,Round,E,VVS2,0.51,Excellent,HRD,Very Good,Very Good,61.6,58.0,5.12,5.18,3.17,M,M,3070,b,b
32,Round,F,VS1,0.5,Very Good,GIA,Very Good,Excellent,64.2,58.0,4.92,4.98,3.18,unknown,unknown,3076,b,b
33,Oval,F,VS2,0.66,unknown,GIA,Very Good,Excellent,64.2,55.0,6.65,4.9,3.14,TN,STK,3110,b,b
34,Pear,L,VS2,1.0,unknown,IGI,Very Good,Very Good,69.8,54.5,7.49,5.36,3.74,unknown,unknown,3458,b,b
35,Round,J,VVS2,0.7,Excellent,GIA,Very Good,Excellent,62.8,56.0,5.6,5.67,3.54,M,TK,3476,b,b
36,Round,E,SI2,0.8,Excellent,GIA,Excellent,Excellent,0.0,0.0,0.0,0.0,0.0,unknown,unknown,3544,b,b
37,Emerald,D,SI2,0.91,unknown,GIA,Very Good,Excellent,72.1,68.0,6.19,4.52,3.26,VTK,XTK,3618,b,b
38,Round,J,SI2,1.0,Excellent,GIA,Excellent,Excellent,62.8,57.0,6.35,6.39,4.0,unknown,unknown,4839,b,b
39,Oval,unknown,VS1,0.87,unknown,GIA,Good,Good,69.8,59.0,6.01,5.2,3.63,TK,XTK,5951,c,b
40,Round,J,VVS1,1.0,Excellent,GIA,Excellent,Excellent,61.5,61.0,6.38,6.44,3.04,M,STK,8306,b,b
41,Round,E,SI1,1.0,Very Good,GIA,Excellent,Excellent,61.8,61.0,6.38,6.4,3.95,STK,STK,11310,b,c
42,Round,F,IF,1.0,Very Good,IGI,Very Good,Excellent,0.0,57.5,6.14,6.26,4.0,unknown,unknown,12630,b,c
